timestamp,app_name,load_level,run_id,node_id,node_cpu_watts,cpu_usage_mcores,ram_usage_mi,disk_total_gb,disk_used_gb,disk_free_gb,disk_read_mb,disk_write_mb,disk_read_ios,disk_write_ios,cpu_psi_some_pct,cpu_psi_some_us,sched_total_ms,sched_count,dstate_total_ms,dstate_count,softirq_total_ms,softirq_count
2026-03-26 10:43:50,BASELINE,low,0,worker1,221,2560.0,25524.55,878.04,128.48,704.89,61.0234,9.5156,2742,244,4160447.7484,208022387419,24138.179,96966,202.99,2102,103.843,2936
2026-03-26 10:43:55,BASELINE,low,0,worker1,216,1792.0,25514.57,878.04,128.48,704.89,17.6016,1.1719,664,138,29.8596,1492981,32517.374,62723,81.725,1208,68.435,1827
2026-03-26 10:44:00,BASELINE,low,0,worker1,217,2816.0,25510.46,878.04,128.48,704.89,0.1797,5.4688,6,146,29.3288,1466441,22103.626,58163,36.596,998,59.018,1400
2026-03-26 10:44:05,BASELINE,low,0,worker1,215,3072.0,25506.39,878.04,128.48,704.89,13.7188,2.1094,664,298,20.2642,1013208,12095.869,61318,178.103,1182,58.211,1443
2026-03-26 10:44:10,BASELINE,low,0,worker1,219,1536.0,25521.96,878.04,128.48,704.89,77.9844,0.7031,3052,96,26.3453,1317266,11889.677,62083,162.994,1535,80.568,2173
2026-03-26 10:44:15,BASELINE,low,0,worker1,217,2560.0,25552.8,878.04,128.48,704.89,55.3672,1.7422,2296,208,11.3521,567603,9857.965,66053,119.59,1526,58.286,1621
2026-03-26 10:44:20,BASELINE,low,0,worker1,221,3072.0,25542.79,878.04,128.48,704.89,12.6172,0.7109,548,118,11.3223,566115,7178.675,65396,93.24,1113,66.575,2015
2026-03-26 10:44:25,BASELINE,low,0,worker1,216,1280.0,25545.91,878.04,128.48,704.89,0.75,1.2266,22,140,30.9425,1547126,32176.113,62748,63.397,1073,69.646,1802
2026-03-26 10:44:30,BASELINE,low,0,worker1,220,2560.0,25530.91,878.04,128.48,704.89,83.7422,3.0625,3402,118,34.4809,1724047,32077.054,62364,253.267,1666,68.12,1635
2026-03-26 10:44:35,BASELINE,low,0,worker1,218,2304.0,25526.27,878.04,128.48,704.89,18.0938,4.1719,866,304,3.3202,166008,8508.846,59105,76.75,1158,62.081,1482
2026-03-26 10:44:40,BASELINE,low,0,worker1,219,4352.0,25575.01,878.04,128.48,704.89,0.0312,0.75,4,90,12.5652,628262,8323.875,62130,46.619,1024,61.942,1508
2026-03-26 10:44:45,BASELINE,low,0,worker1,219,2816.0,25539.77,878.04,128.48,704.89,72.7812,1.8359,2896,236,18.7903,939513,10574.516,64832,198.828,1632,67.063,1779
2026-03-26 10:44:50,BASELINE,low,0,worker1,224,2816.0,25501.04,878.04,128.49,704.89,43.3594,0.6719,1784,92,21.5529,1077646,16056.901,67421,119.304,1354,76.754,2465
2026-03-26 10:44:55,BASELINE,low,0,worker1,217,2304.0,25516.14,878.04,128.49,704.89,19.7031,1.8125,708,166,36.2627,1813136,27245.925,63529,94.625,1205,72.024,1985
2026-03-26 10:45:00,BASELINE,low,0,worker1,217,1536.0,25526.21,878.04,128.49,704.89,1.7891,3.2422,38,154,30.7188,1535938,24454.19,57800,41.583,1020,63.255,1526
2026-03-26 10:45:05,BASELINE,low,0,worker1,217,3072.0,25502.77,878.04,128.49,704.89,94.8594,4.3359,3916,312,9.5407,477034,10004.984,65308,218.293,1728,73.155,1813
2026-03-26 10:45:10,BASELINE,low,0,worker1,218,2304.0,25504.9,878.04,128.49,704.89,9.2188,1.7734,322,224,13.9261,696307,6011.547,59699,68.634,1073,60.636,1443
2026-03-26 10:45:15,BASELINE,low,0,worker1,218,2816.0,25503.07,878.04,128.49,704.89,113.7344,1.9453,4576,236,18.0527,902633,17029.366,67349,228.938,1867,63.364,1691
2026-03-26 10:45:20,BASELINE,low,0,worker1,220,1792.0,25503.4,878.04,128.49,704.88,72.1562,0.6484,2826,78,34.3776,1718881,15160.929,62779,288.102,1548,65.843,2089
2026-03-26 10:45:25,BASELINE,low,0,worker1,216,2304.0,25490.64,878.04,128.49,704.88,88.7891,1.3828,3496,154,29.8537,1492686,26216.858,67121,211.101,1614,86.801,2306
2026-03-26 10:45:30,BASELINE,low,0,worker1,219,2304.0,25500.39,878.04,128.49,704.88,15.9922,0.4609,742,74,29.0909,1454547,39012.677,60436,73.882,1134,66.809,1718
2026-03-26 10:45:35,BASELINE,low,0,worker1,215,1536.0,25506.06,878.04,128.49,704.88,19.7109,6.3984,840,224,8.1796,408982,4851.137,62386,82.503,1155,67.188,1773
2026-03-26 10:45:40,BASELINE,low,0,worker1,219,2816.0,25505.45,878.04,128.49,704.88,0.0,1.3125,0,208,12.2082,610409,7473.446,57965,44.793,1045,57.91,1403
2026-03-26 10:45:45,BASELINE,low,0,worker1,220,3072.0,25504.96,878.04,128.49,704.88,50.2031,1.3984,2100,154,14.3319,716595,7642.252,63812,150.164,1427,61.263,1697
2026-03-26 10:45:50,BASELINE,low,0,worker1,221,1792.0,25536.96,878.04,128.49,704.88,14.9766,0.7344,734,100,31.0168,1550842,30806.309,61404,237.588,1118,75.137,2156
2026-03-26 10:45:55,BASELINE,low,0,worker1,219,3072.0,25514.25,878.04,128.49,704.88,17.75,1.5859,596,212,25.3312,1266561,28693.214,65007,119.263,1174,71.54,1940
2026-03-26 10:46:00,BASELINE,low,0,worker1,218,1536.0,25505.09,878.04,128.49,704.88,0.1797,0.8281,6,106,28.8675,1443374,20076.21,60299,44.257,1022,58.325,1453
2026-03-26 10:46:05,BASELINE,low,0,worker1,216,2048.0,25492.55,878.04,128.49,704.88,1.2344,6.125,38,174,1.3431,67154,2395.101,60527,50.528,1043,55.783,1377
2026-03-26 10:46:10,BASELINE,low,0,worker1,218,3072.0,25511.21,878.04,128.49,704.88,1.1406,1.7344,70,236,22.4978,1124890,13438.19,59961,49.053,1035,64.019,1561
2026-03-26 10:46:15,BASELINE,low,0,worker1,216,1792.0,25518.24,878.04,128.49,704.88,32.2891,1.4219,1560,144,15.3671,768355,17294.988,68702,102.268,1382,69.998,1839
2026-03-26 10:46:20,BASELINE,low,0,worker1,220,3328.0,25511.84,878.04,128.49,704.88,1.0938,0.9453,34,106,21.7658,1088289,14758.348,62031,45.957,1010,63.177,2015
2026-03-26 10:46:25,BASELINE,low,0,worker1,220,2304.0,25521.93,878.04,128.49,704.88,0.0,1.125,0,160,32.1089,1605447,16087.122,60929,148.477,1031,67.3,1796
2026-03-26 10:46:30,BASELINE,low,0,worker1,218,1536.0,25535.07,878.04,128.49,704.88,0.0,0.9453,0,114,41.3351,2066756,13647.404,60385,56.637,1071,59.812,1466
2026-03-26 10:46:35,BASELINE,low,0,worker1,217,2560.0,25510.15,878.04,128.49,704.88,0.2109,5.6094,22,156,5.6583,282916,5308.69,59146,48.98,1053,56.195,1362
2026-03-26 10:46:40,BASELINE,low,0,worker1,219,3328.0,25497.73,878.04,128.49,704.88,0.0,0.7969,0,114,18.7629,938147,13744.848,62722,44.923,1035,69.088,1629
2026-03-26 10:46:45,BASELINE,low,0,worker1,218,2048.0,25501.04,878.04,128.49,704.88,11.375,2.1172,540,282,23.6052,1180261,23976.807,65461,68.253,1155,66.236,1825
2026-03-26 10:46:50,BASELINE,low,0,worker1,224,4096.0,25515.32,878.04,128.49,704.88,176.3125,0.7812,7046,118,30.711,1535552,18571.081,65608,467.041,2241,71.436,2298
2026-03-26 10:46:55,BASELINE,low,0,worker1,216,1792.0,25519.77,878.04,128.5,704.88,75.9297,1.3203,2920,138,26.9916,1349582,24943.768,65718,144.607,1482,76.069,2023
2026-03-26 10:47:00,BASELINE,low,0,worker1,218,2560.0,25503.13,878.04,128.5,704.88,3.9766,0.8047,130,114,28.272,1413600,33855.335,59392,52.075,1030,57.452,1449
2026-03-26 10:47:05,BASELINE,low,0,worker1,216,2048.0,25509.67,878.04,128.5,704.88,8.9922,6.0078,300,228,8.7254,436268,7996.031,60278,64.401,1098,58.191,1394
2026-03-26 10:47:10,BASELINE,low,0,worker1,219,1536.0,25512.04,878.04,128.5,704.88,88.2578,1.2656,3594,130,12.4511,622556,6455.41,62440,163.568,1614,63.744,1520
2026-03-26 10:47:15,BASELINE,low,0,worker1,218,2816.0,25543.0,878.04,128.5,704.88,106.8438,1.7812,4088,246,10.3001,515007,6970.05,66101,208.965,1753,59.576,1615
2026-03-26 10:47:20,BASELINE,low,0,worker1,225,2816.0,25551.11,878.04,128.5,704.88,24.2422,0.7734,950,116,20.8985,1044923,29581.15,64891,84.602,1231,68.433,1988
2026-03-26 10:47:25,BASELINE,low,0,worker1,216,1280.0,25552.5,878.04,128.5,704.87,3.3594,1.0391,120,108,29.1357,1456785,12920.946,61964,54.224,1055,68.516,1742
2026-03-26 10:47:30,BASELINE,low,0,worker1,217,3072.0,25518.32,878.04,128.5,704.87,1.8906,0.7969,44,120,31.0667,1553336,18617.679,61996,43.475,1005,67.43,1594
2026-03-26 10:47:35,BASELINE,low,0,worker1,216,1536.0,25509.92,878.04,128.5,704.87,0.7266,5.625,20,160,1.2579,62894,2352.982,59481,56.84,1031,54.166,1301
2026-03-26 10:47:40,BASELINE,low,0,worker1,215,1792.0,25503.32,878.04,128.5,704.87,0.0,1.1406,0,186,25.3669,1268343,23346.305,61515,47.978,1019,61.219,1494
2026-03-26 10:47:45,BASELINE,low,0,worker1,222,2816.0,25530.15,878.04,128.5,704.87,62.0703,1.8281,2506,256,25.396,1269801,16528.095,64098,155.492,1490,59.45,1637
2026-03-26 10:47:50,BASELINE,low,0,worker1,221,2560.0,25492.8,878.04,128.5,704.87,24.1484,0.875,998,110,19.434,971701,8585.915,63522,191.756,1178,69.977,2079
2026-03-26 10:47:55,BASELINE,low,0,worker1,216,1792.0,25486.23,878.04,128.5,704.87,18.5938,1.4062,578,122,28.435,1421750,27208.758,64438,86.256,1213,76.411,1928
2026-03-26 10:48:00,BASELINE,low,0,worker1,216,2304.0,25472.2,878.04,128.5,704.87,0.1875,0.8438,4,118,27.1097,1355485,24836.669,60467,42.251,998,59.494,1440
2026-03-26 10:48:05,BASELINE,low,0,worker1,216,2048.0,25493.34,878.04,128.5,704.87,0.2578,3.2812,10,136,3.6766,183831,6143.149,58424,71.502,1056,53.477,1318
2026-03-26 10:48:10,BASELINE,low,0,worker1,216,2816.0,25500.19,878.04,128.5,704.87,0.3984,3.5,8,206,13.3969,669846,9384.778,59301,54.621,1007,61.677,1501
2026-03-26 10:48:15,BASELINE,low,0,worker1,218,2304.0,25485.65,878.04,128.5,704.87,77.6016,1.1875,2900,130,14.3176,715879,14675.013,65520,155.143,1542,55.855,1578
2026-03-26 10:48:20,BASELINE,low,0,worker1,219,1792.0,25468.54,878.04,128.5,704.87,27.9922,1.3984,1046,248,26.1171,1305855,9806.159,60665,85.827,1187,75.709,2166
2026-03-26 10:48:25,BASELINE,low,0,worker1,219,2560.0,25460.66,878.04,128.5,704.87,2.4453,0.8203,130,106,25.8731,1293656,33106.814,65800,61.694,1034,69.387,1753
2026-03-26 10:48:30,BASELINE,low,0,worker1,217,2304.0,25457.28,878.04,128.5,704.87,1.8359,0.9609,44,112,33.5889,1679443,16604.447,58439,48.664,1089,55.87,1406
2026-03-26 10:48:35,BASELINE,low,0,worker1,216,1792.0,25428.43,878.04,128.5,704.87,0.1484,3.2578,8,132,7.954,397702,12436.922,59087,54.483,1018,51.204,1299
2026-03-26 10:48:40,BASELINE,low,0,worker1,218,3072.0,25437.18,878.04,128.5,704.87,0.9922,3.5078,46,214,9.9627,498137,6539.318,60932,43.898,1016,62.313,1530
2026-03-26 10:48:45,BASELINE,low,0,worker1,217,2560.0,25465.98,878.04,128.5,704.87,58.5938,1.2891,2206,130,16.2095,810475,9452.633,67542,150.49,1492,69.79,1869
2026-03-26 10:48:50,BASELINE,low,0,worker1,221,2816.0,25486.9,878.04,128.5,704.87,69.1953,1.5156,2268,242,21.7747,1088733,21512.975,63267,154.56,1436,68.037,2087
2026-03-26 10:48:55,BASELINE,low,0,worker1,216,1280.0,25459.58,878.04,128.5,704.87,28.3828,0.9844,966,122,31.9832,1599162,29018.033,62130,75.747,1199,65.025,1686
2026-03-26 10:49:00,BASELINE,low,0,worker1,222,2560.0,25467.33,878.04,128.5,704.87,0.2422,1.0234,6,132,31.9019,1595097,25149.28,60931,44.567,1031,63.047,1566
2026-03-26 10:49:05,BASELINE,low,0,worker1,215,2048.0,25466.47,878.04,128.51,704.87,11.3516,1.1016,392,120,19.3893,969466,24424.239,59487,70.691,1156,55.583,1347
2026-03-26 10:49:10,BASELINE,low,0,worker1,218,1536.0,25434.31,878.04,128.51,704.87,3.0156,6.1875,78,174,16.0974,804872,6831.043,59945,63.035,1033,76.564,1860
2026-03-26 10:49:15,BASELINE,low,0,worker1,218,2816.0,25460.58,878.04,128.51,704.87,88.7734,1.4531,3378,142,22.9056,1145281,9923.261,62810,196.207,1619,55.563,1577
2026-03-26 10:49:20,BASELINE,low,0,worker1,221,2816.0,25451.46,878.04,128.51,704.87,24.9844,1.125,916,204,22.8962,1144808,10900.782,60962,84.359,1192,64.866,1986
2026-03-26 10:49:25,BASELINE,low,0,worker1,216,2560.0,25463.67,878.04,128.51,704.87,5.2656,1.5078,212,228,27.0029,1350143,15121.575,62670,65.579,1094,68.855,1771
2026-03-26 10:49:30,BASELINE,low,0,worker1,217,1792.0,25472.98,878.04,128.51,704.87,0.7812,0.7734,38,100,38.3052,1915260,34990.223,56878,42.315,1015,58.848,1426
2026-03-26 10:49:35,BASELINE,low,0,worker1,216,1792.0,25462.77,878.04,128.51,704.86,1.6094,1.0547,56,118,1.7419,87097,2402.028,58816,57.372,1021,61.436,1453
2026-03-26 10:49:40,BASELINE,low,0,worker1,218,4864.0,25481.69,878.04,128.51,704.86,0.0,5.8516,0,152,12.9057,645283,12619.215,62215,60.321,1105,62.626,1487
2026-03-26 10:49:45,BASELINE,low,0,worker1,217,1792.0,25450.85,878.04,128.51,704.86,34.8047,1.3984,1678,138,11.5951,579755,7125.433,60410,131.437,1391,57.012,1616
2026-03-26 10:49:50,BASELINE,low,0,worker1,223,3072.0,25452.62,878.04,128.51,704.86,0.6406,0.6797,24,106,19.0916,954579,15701.08,62780,55.63,1016,67.121,2018
2026-03-26 10:49:55,BASELINE,low,0,worker1,219,2048.0,25448.24,878.04,128.51,704.86,15.3984,1.5625,474,238,28.5874,1429369,45218.942,63240,84.514,1151,62.218,1703
2026-03-26 10:50:00,BASELINE,low,0,worker1,218,1792.0,25450.19,878.04,128.51,704.86,2.3281,1.3359,90,218,29.7658,1488292,23016.442,59951,51.182,1027,69.438,1625
2026-03-26 10:50:05,BASELINE,low,0,worker1,216,3072.0,25432.81,878.04,128.51,704.86,1.5859,1.0703,48,120,0.6264,31320,1857.042,57956,56.064,1032,55.359,1301
2026-03-26 10:50:10,BASELINE,low,0,worker1,221,2304.0,25416.14,878.04,128.51,704.86,0.7969,5.7266,20,180,12.7411,637057,12557.921,60854,77.895,1041,60.988,1486
2026-03-26 10:50:15,BASELINE,low,0,worker1,215,2816.0,25440.72,878.04,128.51,704.86,22.4531,2.0391,1118,264,6.3683,318415,4787.064,63625,171.342,1361,56.018,1590
2026-03-26 10:50:20,BASELINE,low,0,worker1,220,2560.0,25425.07,878.04,128.51,704.86,0.6172,0.7734,36,106,15.1006,755030,10723.795,61915,47.015,1029,65.151,2026
2026-03-26 10:50:25,BASELINE,low,0,worker1,217,1536.0,25434.24,878.04,128.52,704.86,0.6641,1.1016,30,122,35.7393,1786963,20296.092,63700,61.121,1074,76.105,1934
2026-03-26 10:50:30,BASELINE,low,0,worker1,216,2048.0,25435.95,878.04,128.52,704.86,0.0,1.5234,0,272,31.597,1579850,18422.546,58848,39.946,999,61.192,1442
2026-03-26 10:50:35,BASELINE,low,0,worker1,215,2560.0,25428.26,878.04,128.52,704.86,0.0,1.2422,0,126,7.3628,368138,9020.894,59665,61.696,1054,56.679,1398
2026-03-26 10:50:40,BASELINE,low,0,worker1,216,1280.0,25455.19,878.04,128.52,704.86,0.0,13.625,0,222,24.6137,1230685,17839.547,61052,47.654,1014,64.699,1593
2026-03-26 10:50:45,BASELINE,low,0,worker1,215,2560.0,25447.21,878.04,128.52,704.86,0.9062,1.8203,108,178,14.3808,719042,7526.018,62690,54.445,1088,58.183,1632
2026-03-26 10:50:50,BASELINE,low,0,worker1,221,2560.0,25434.39,878.04,128.52,704.85,62.9297,0.6641,2214,84,22.9473,1147364,18972.703,63389,144.049,1424,79.699,2254
2026-03-26 10:50:55,BASELINE,low,0,worker1,215,1792.0,25441.53,878.04,128.52,704.85,18.5391,1.1172,724,146,33.0094,1650471,55362.47,64204,130.456,1163,67.972,1826
2026-03-26 10:51:00,BASELINE,low,0,worker1,218,2048.0,25429.04,878.04,128.52,704.85,0.25,2.0938,4,314,31.6454,1582270,36666.018,62206,42.032,1046,63.018,1565
2026-03-26 10:51:05,BASELINE,low,0,worker1,216,2560.0,25443.04,878.04,128.52,704.85,0.3828,1.3047,14,146,12.0969,604844,19680.798,61069,62.836,1088,56.2,1360
2026-03-26 10:51:10,BASELINE,low,0,worker1,217,1792.0,25446.2,878.04,128.52,704.85,0.7578,2.9141,44,112,15.5723,778615,6753.943,59720,57.528,1022,59.111,1407
2026-03-26 10:51:15,BASELINE,low,0,worker1,218,2304.0,25440.66,878.04,128.52,704.85,65.1797,3.9453,2686,198,13.1813,659065,6653.949,70161,183.125,1516,68.193,1778
2026-03-26 10:51:20,BASELINE,low,0,worker1,228,4608.0,25429.8,878.04,128.52,704.85,5.7422,0.6328,296,86,14.5598,727988,8863.167,62633,62.136,1056,65.198,1889
2026-03-26 10:51:25,BASELINE,low,0,worker1,218,2304.0,25450.38,878.04,128.52,704.85,95.1016,1.6172,3998,166,25.0212,1251061,38463.262,67138,338.539,1893,83.237,2636
2026-03-26 10:51:30,BASELINE,low,0,worker1,218,1536.0,25428.28,878.04,128.52,704.85,11.0859,1.4922,528,228,30.1253,1506265,17100.534,62358,72.21,1115,70.448,1841
2026-03-26 10:51:35,BASELINE,low,0,worker1,220,1792.0,25425.9,878.04,128.52,704.85,21.8359,1.1562,876,140,14.2105,710527,12169.021,63295,96.653,1176,70.018,1774
2026-03-26 10:51:40,BASELINE,low,0,worker1,220,2560.0,25442.74,878.04,128.52,704.85,3.9609,3.6016,128,222,8.6087,430434,8395.832,64039,57.389,1038,80.682,2097
2026-03-26 10:51:45,BASELINE,low,0,worker1,219,2560.0,25478.04,878.04,128.52,704.85,41.2656,4.0547,1598,198,22.0137,1100683,13293.475,67884,1278.269,1360,71.508,2054
2026-03-26 10:51:50,BASELINE,low,0,worker1,220,2304.0,25453.94,878.04,128.52,704.85,117.8281,0.5938,4850,84,23.8984,1194919,30881.216,65125,254.066,1787,72.101,2264
2026-03-26 10:51:55,BASELINE,low,0,worker1,214,2304.0,25462.8,878.04,128.52,704.85,19.0156,1.1953,656,146,21.456,1072802,25806.996,63841,90.073,1236,64.465,1766
2026-03-26 10:52:00,BASELINE,low,0,worker1,215,2304.0,25456.79,878.04,128.52,704.85,0.6484,0.9062,58,98,28.7006,1435029,16322.246,61337,41.598,1014,62.444,1578
2026-03-26 10:52:05,BASELINE,low,0,worker1,216,2816.0,25471.51,878.04,128.52,704.85,1.3984,1.9375,70,280,3.6762,183811,3836.73,59115,56.812,1064,63.923,1498
2026-03-26 10:52:10,BASELINE,low,0,worker1,217,1536.0,25461.68,878.04,128.52,704.85,0.8281,3.1875,32,116,29.5538,1477692,8081.771,61833,49.673,1041,63.594,1568
2026-03-26 10:52:15,BASELINE,low,0,worker1,217,2816.0,25499.51,878.04,128.52,704.85,68.1641,4.4141,2732,256,12.7177,635886,18930.714,64402,192.062,1584,59.773,1665
2026-03-26 10:52:20,BASELINE,low,0,worker1,221,2816.0,25488.54,878.04,128.52,704.85,2.2188,0.7109,170,90,29.0115,1450573,28903.449,62577,50.721,1019,65.829,2024
2026-03-26 10:52:25,BASELINE,low,0,worker1,217,1792.0,25485.46,878.04,128.52,704.85,1.8906,1.1328,144,144,25.3695,1268476,12179.317,62319,60.438,1070,64.183,1767
2026-03-26 10:52:30,BASELINE,low,0,worker1,217,1792.0,25474.7,878.04,128.52,704.85,0.3906,0.6641,8,82,45.9916,2299579,15901.081,58471,39.411,1043,65.19,1546
2026-03-26 10:52:35,BASELINE,low,0,worker1,216,2560.0,25501.42,878.04,128.53,704.85,0.9609,1.7109,38,266,2.7439,137194,4782.361,60970,60.047,1039,56.319,1373
2026-03-26 10:52:40,BASELINE,low,0,worker1,217,1536.0,25510.94,878.04,128.53,704.85,0.0,0.6172,0,80,17.8941,894703,25109.255,59432,45.529,993,62.079,1491
2026-03-26 10:52:45,BASELINE,low,0,worker1,221,2560.0,25513.55,878.04,128.53,704.85,6.7422,6.2578,390,216,23.9391,1196954,14141.811,60983,68.657,1082,57.841,1615
2026-03-26 10:52:50,BASELINE,low,0,worker1,225,2560.0,25509.24,878.04,128.53,704.85,0.0078,0.7266,2,90,18.1541,907704,8433.182,61689,59.487,1044,64.347,2004
2026-03-26 10:52:55,BASELINE,low,0,worker1,216,2560.0,25514.45,878.04,128.53,704.85,9.6406,1.4375,410,210,29.434,1471701,18074.831,63874,80.531,1114,77.014,2005
2026-03-26 10:53:00,BASELINE,low,0,worker1,216,2560.0,25492.31,878.04,128.53,704.84,0.1484,0.6562,16,86,35.0944,1754718,33039.35,62837,42.992,1011,57.171,1432
2026-03-26 10:53:05,BASELINE,low,0,worker1,215,1536.0,25510.97,878.04,128.53,704.84,0.0156,1.6562,4,256,11.2955,564773,15175.423,57762,63.259,1115,59.47,1439
2026-03-26 10:53:10,BASELINE,low,0,worker1,216,2048.0,25497.17,878.04,128.53,704.84,0.3828,0.8516,8,90,23.3557,1167783,16094.552,58273,53.752,1007,60.598,1443
2026-03-26 10:53:15,BASELINE,low,0,worker1,216,2560.0,25507.52,878.04,128.53,704.84,27.3047,6.8359,1326,264,12.0977,604886,6076.129,64069,190.847,1384,62.374,1699
2026-03-26 10:53:20,BASELINE,low,0,worker1,221,2304.0,25469.52,878.04,128.53,704.84,1.3516,0.6719,64,88,22.6201,1131004,10835.106,61334,140.922,1064,72.59,2081
2026-03-26 10:53:25,BASELINE,low,0,worker1,217,2816.0,25468.26,878.04,128.53,704.84,0.0156,1.7891,2,174,25.8863,1294315,43690.529,64465,67.982,1077,71.201,1852
2026-03-26 10:53:30,BASELINE,low,0,worker1,217,2560.0,25482.1,878.04,128.53,704.84,0.0,0.6484,0,88,22.683,1134150,17611.88,59352,36.213,993,57.406,1415
2026-03-26 10:53:35,BASELINE,low,0,worker1,214,1536.0,25480.18,878.04,128.53,704.84,0.4766,1.9688,12,318,0.7298,36492,2033.308,57819,58.481,1039,54.652,1385
2026-03-26 10:53:40,BASELINE,low,0,worker1,216,3072.0,25502.12,878.04,128.53,704.84,0.0,0.6406,0,82,20.1947,1009736,9572.073,60938,46.487,1064,60.523,1439
2026-03-26 10:53:45,BASELINE,low,0,worker1,220,2304.0,25516.88,878.04,128.53,704.84,1.3281,6.4688,170,214,17.9585,897924,9983.605,69599,77.233,1172,82.334,2203
2026-03-26 10:53:50,BASELINE,low,0,worker1,221,2048.0,25512.47,878.04,128.53,704.84,38.8125,0.7188,1286,90,14.4659,723296,20525.111,60678,105.305,1175,68.001,2085
2026-03-26 10:53:55,BASELINE,low,0,worker1,217,2048.0,25503.77,878.04,128.53,704.84,9.7109,1.2656,406,152,36.5567,1827833,51602.001,64677,68.219,1116,67.366,1791
2026-03-26 10:54:00,BASELINE,low,0,worker1,222,2816.0,25528.92,878.04,128.53,704.84,87.1016,1.6016,4016,126,32.5448,1627241,26510.747,65583,328.427,1729,72.499,2169
2026-03-26 10:54:05,BASELINE,low,0,worker1,216,1280.0,25528.87,878.04,128.53,704.84,17.6641,1.5781,916,234,4.1912,209562,2925.202,58252,78.424,1144,55.033,1335
2026-03-26 10:54:10,BASELINE,low,0,worker1,217,3328.0,25517.7,878.04,128.53,704.84,4.7656,1.1875,210,212,15.1994,759971,14197.329,61439,60.111,1041,69.828,1617
