cpu_usage_pct,cpu_psi_some_pct,ram_usage_pct,ram_usage_mi,disk_used_pct,sched_total_ms,dstate_total_ms,softirq_total_ms,node_cpu_watts,_cpu_mcores,_psi_us,_pod_count,_phase,_tick
0.7000000000000001,29.85962,1.2166295051574707,25514.57,14.633257403189065,32517.374,81.725,68.435,216.0,1792.0,1492981.0,0,idle,0
1.0999999999999999,29.32882,1.2164335250854492,25510.46,14.633257403189065,22103.626,36.596,59.018,217.0,2816.0,1466441.0,0,idle,1
1.2,20.26416,1.2162394523620605,25506.39,14.633257403189065,12095.869,178.103,58.211,215.0,3072.0,1013208.0,0,idle,2
0.6,26.34532,1.2169818878173828,25521.96,14.633257403189065,11889.677,162.994,80.568,219.0,1536.0,1317266.0,0,idle,3
1.0,11.35206,1.2184524536132812,25552.8,14.633257403189065,9857.965,119.59,58.286,217.0,2560.0,567603.0,0,idle,4
1.2,11.3223,1.21797513961792,25542.79,14.633257403189065,7178.675,93.24,66.575,221.0,3072.0,566115.0,0,idle,5
0.5,30.942520000000002,1.2181239128112793,25545.91,14.633257403189065,32176.113,63.397,69.646,216.0,1280.0,1547126.0,0,idle,6
1.0,34.48094,1.2174086570739746,25530.91,14.633257403189065,32077.054,253.267,68.12,220.0,2560.0,1724047.0,0,idle,7
0.8999999999999999,3.3201599999999996,1.2171874046325684,25526.27,14.633257403189065,8508.846,76.75,62.081,218.0,2304.0,166008.0,0,idle,8
1.7000000000000002,12.56524,1.2195115089416504,25575.01,14.633257403189065,8323.875,46.619,61.942,219.0,4352.0,628262.0,0,idle,9
1.0999999999999999,18.79026,1.2178311347961426,25539.77,14.633257403189065,10574.516,198.828,67.063,219.0,2816.0,939513.0,0,idle,10
1.0999999999999999,21.55292,1.2159843444824219,25501.04,14.634396355353077,16056.901,119.304,76.754,224.0,2816.0,1077646.0,0,idle,11
0.8999999999999999,36.26272,1.2167043685913086,25516.14,14.634396355353077,27245.925,94.625,72.024,217.0,2304.0,1813136.0,0,idle,12
0.6,30.71876,1.2171845436096191,25526.21,14.634396355353077,24454.19,41.583,63.255,217.0,1536.0,1535938.0,0,idle,13
1.2,9.54068,1.216066837310791,25502.77,14.634396355353077,10004.984,218.293,73.155,217.0,3072.0,477034.0,0,idle,14
0.8999999999999999,13.92614,1.2161684036254883,25504.9,14.634396355353077,6011.547,68.634,60.636,218.0,2304.0,696307.0,0,idle,15
1.0999999999999999,18.05266,1.216081142425537,25503.07,14.634396355353077,17029.366,228.938,63.364,218.0,2816.0,902633.0,0,idle,16
0.7000000000000001,34.37762,1.2160968780517578,25503.4,14.634396355353077,15160.929,288.102,65.843,220.0,1792.0,1718881.0,0,idle,17
0.8999999999999999,29.85372,1.2154884338378906,25490.64,14.634396355353077,26216.858,211.101,86.801,216.0,2304.0,1492686.0,0,idle,18
0.8999999999999999,29.09094,1.2159533500671387,25500.39,14.634396355353077,39012.677,73.882,66.809,219.0,2304.0,1454547.0,0,idle,19
0.6,8.179640000000001,1.2162237167358398,25506.06,14.634396355353077,4851.137,82.503,67.188,215.0,1536.0,408982.0,0,idle,20
1.0999999999999999,12.20818,1.2161946296691895,25505.45,14.634396355353077,7473.446,44.793,57.91,219.0,2816.0,610409.0,0,idle,21
0.17948046874999998,0.17948046874999998,0.19332027435302734,4054.22,5.283430025626423,30416.9,67.524,199.604,0.44374,459.46999999999997,8974.0234375,76,4hotel,22
0.17992578125,0.17992578125,0.19339418411254883,4055.77,5.283430025626423,19839.218,85.031,156.939,2.1353999999999997,460.61,8996.2890625,76,4hotel,23
0.17782421875,0.17782421875,0.19334983825683594,4054.84,5.283430025626423,13639.519,132.214,192.583,0.63144,455.23,8891.2109375,76,4hotel,24
0.17875390625,0.17875390625,0.19331884384155273,4054.19,5.283430025626423,24091.728,81.167,129.668,0.33834000000000003,457.61,8937.6953125,76,4hotel,25
0.175875,0.175875,0.19321298599243164,4051.9700000000003,5.283430025626423,8346.797,112.099,135.348,0.37078,450.24,8793.75,76,4hotel,26
0.173953125,0.173953125,0.19330835342407227,4053.97,5.283430025626423,12712.809999999998,52.684999999999995,153.734,0.26452,445.32,8697.65625,76,4hotel,27
0.1777578125,0.1777578125,0.1933293342590332,4054.41,5.283430025626423,15401.577,72.54599999999999,164.14,0.74903,455.06,8887.890625,76,4hotel,28
0.22148437499999998,0.22148437499999998,0.1931777000427246,4051.23,5.283430025626423,21803.367999999995,110.789,235.628,0.99634,567.0,11074.218749999998,76,4hotel,29
0.17880859375,0.17880859375,0.19312334060668945,4050.09,5.283430025626423,19200.505,68.88900000000001,163.365,0.49102,457.75,8940.4296875,76,4hotel,30
1.9645078125,1.9645078125,0.19784784317016602,4149.17,5.283430025626423,81611.219,131.914,1581.037,0.3611,5029.14,98225.390625,76,4hotel,31
22.173605468749997,22.173605468749997,0.20468664169311523,4292.59,5.283430025626423,698209.379,1032.173,11794.84,2.363388,56764.43,1108680.2734375,76,4hotel,32
37.27355859375,37.27355859375,0.20389747619628906,4276.04,5.283430025626423,1201227.41,1024.7089999999998,17331.655,76.58922,95420.31,1863677.9296875,76,4hotel,33
37.19764453125,37.19764453125,0.20673513412475586,4335.55,5.283430025626423,1223217.147,860.8890000000001,17616.011,158.44650000000001,95225.97,1859882.2265625,76,4hotel,34
37.65632421875,37.65632421875,0.20582294464111328,4316.42,5.283430025626423,1185519.483,1378.8650000000002,18079.18,155.1892,96400.19,1882816.2109375002,76,4hotel,35
37.5723828125,37.5723828125,0.20483255386352536,4295.65,5.283430025626423,1145788.053,1693.4510000000002,17686.428,182.85306,96185.3,1878619.140625,76,4hotel,36
37.26541015625,37.26541015625,0.2055802345275879,4311.33,5.283430025626423,1199583.191,894.1330000000002,17007.093,173.8464,95399.45,1863270.5078125,76,4hotel,37
37.08305859375,37.08305859375,0.2052974700927734,4305.4,5.283430025626423,1147077.314,842.81,17602.544,171.65532,94932.63,1854152.9296875,76,4hotel,38
1.2,14.331900000000001,1.2161712646484375,25504.96,14.634396355353077,7642.252,150.164,61.263,220.0,3072.0,716595.0,0,idle,39
0.7000000000000001,31.016840000000002,1.2176971435546875,25536.96,14.634396355353077,30806.309,237.588,75.137,221.0,1792.0,1550842.0,0,idle,40
1.2,25.33122,1.2166142463684082,25514.25,14.634396355353077,28693.214,119.263,71.54,219.0,3072.0,1266561.0,0,idle,41
0.6,28.86748,1.2161774635314941,25505.09,14.634396355353077,20076.21,44.257,58.325,218.0,1536.0,1443374.0,0,idle,42
0.8,1.34308,1.2155795097351074,25492.55,14.634396355353077,2395.101,50.528,55.783,216.0,2048.0,67154.0,0,idle,43
1.2,22.4978,1.2164692878723145,25511.21,14.634396355353077,13438.19,49.053,64.019,218.0,3072.0,1124890.0,0,idle,44
0.8316367187500001,0.782601210981055,14.516504287719728,304433.16000000003,13.697848448177677,866.465068545995,40.45496818359374,84.168,19.78018871744112,2128.9900000000002,39130.06054905275,140,6sa+5sn,45
0.971765625,0.8194340369637336,14.516497135162354,304433.01,13.697848448177677,474.78376710988437,33.03549634375,70.117,20.50835632375312,2487.72,40971.70184818668,140,6sa+5sn,46
11.48907421875,0.7063299898028551,14.528386592864988,304682.35,13.697848448177677,7329.843349778262,67.15661012089171,13376.341,22.792147908265218,29412.03,35316.499490142756,140,6sa+5sn,47
53.66274609375,9.594434498845393,14.57097387313843,305575.47000000003,13.697848448177677,121461.35662049802,1624.2413272953763,21152.484,135.97077310035905,137376.63,479721.7249422697,140,6sa+5sn,48
79.39274609375,35.723275540977994,14.55830430984497,305309.77,13.697848448177677,958156.777630215,3357.238963942221,19301.845,423.31897266662077,203245.43,1786163.7770488998,140,6sa+5sn,49
81.45289453125,49.247849870531,14.589322090148926,305960.26,13.697848448177677,1119943.6969955657,123.94992780314968,20461.619,605.0747751876191,208519.41,2462392.49352655,140,6sa+5sn,50
81.14200390625001,47.956237231009396,14.569785118103026,305550.54,13.697848448177677,1091413.9936826418,208.39391987315446,20539.023,572.7539849475712,207723.53,2397811.86155047,140,6sa+5sn,51
83.132359375,47.493390129737044,14.579259872436523,305749.24,13.697848448177677,1280000.0,185.6851132883438,20476.24,573.7502168418954,212818.84,2374669.506486852,140,6sa+5sn,52
83.75183203125,44.10598943670958,14.590327739715574,305981.35,13.697848448177677,1114512.4547440074,704.6148799379813,20859.134,581.5152632544476,214404.69,2205299.471835479,140,6sa+5sn,53
89.37951953125001,42.00332754107422,14.601698398590088,306219.81,13.697848448177677,1217136.5748611274,1464.149945144563,21024.849,632.8973442359302,228811.57,2100166.377053711,140,6sa+5sn,54
100.0,38.563228316072845,14.613633155822752,306470.1,13.697848448177677,880150.8103436647,609.3748571428571,20403.98,704.4206746603493,256000.0,1928161.4158036422,140,6sa+5sn,55
100.0,42.948694528262834,14.625612258911133,306721.32,13.697848448177677,1076183.8794806022,871.5143843498275,21364.431000000004,701.9985962147822,256000.00000000003,2147434.726413142,140,6sa+5sn,56
100.0,40.64052794272127,14.636935234069826,306958.78,13.697848448177677,888540.987297666,558.1956521739131,20993.177,714.3977024856501,256000.0,2032026.3971360635,140,6sa+5sn,57
100.0,54.38413645561464,5.734217643737793,120255.26,6.961664916714123,1277841.5170316389,250.79582366589327,21019.650999999998,704.6595966835391,256000.0,2719206.822780732,58,6sa+5sn,58
100.0,55.765873319465996,5.747054100036621,120524.46,6.961664916714123,1280000.0,395.68977673325514,21059.555,696.708258147729,256000.0000000001,2788293.6659733,58,6sa+5sn,59
100.0,56.47431483688338,5.757775783538818,120749.31,6.961664916714123,1280000.0000000002,339.563679245283,20629.164,695.6362198705141,256000.0,2823715.741844169,58,6sa+5sn,60
100.0,50.692487224977626,8.533280372619629,178955.86,8.590062864820613,1280000.0,380.68244803695154,20806.484,691.6908066879321,256000.00000000003,2534624.361248881,85,6sa+5sn,61
100.0,44.365769503895145,11.308226108551025,237150.69,10.218460812927106,1022785.6816932984,581.7753456221199,20496.579,717.9131026609064,256000.00000000003,2218288.4751947573,112,6sa+5sn,62
100.0,65.63762918578507,5.82691764831543,122199.31999999999,6.961664916714123,1280000.0,1888.0191158900836,20450.015000000003,692.105776293068,256000.00000000003,3281881.4592892537,58,6sa+5sn,63
100.0,59.17690091064113,5.815638065338135,121962.77,6.961664916714123,1279999.9999999998,1251.1639150943397,20527.686,681.0735776663673,256000.00000000003,2958845.045532056,58,6sa+5sn,64
100.0,59.53934836985423,5.858774662017822,122867.41,6.961664916714123,1280000.0000000002,956.7273823884198,20397.548,710.554976966881,256000.00000000003,2976967.418492711,58,6sa+5sn,65
100.0,55.92357551889807,5.822704792022705,122110.97,6.961664916714123,1280000.0,4331.119420989144,20066.152,693.3147736761907,256000.0,2796178.7759449035,58,6sa+5sn,66
100.0,54.52627509805188,8.597856521606445,180310.12,8.590062864820613,1280000.0,158.12729498164018,20562.165,710.749555262757,256000.00000000003,2726313.754902594,85,6sa+5sn,67
99.99999999999999,59.95964279044432,5.849658012390137,122676.22,6.961664916714123,1280000.0,209.40368098159504,20466.219,692.5239636571133,255999.99999999997,2997982.1395222163,58,6sa+5sn,68
100.0,58.107695593260644,5.864696025848389,122991.59,6.961664916714123,1279999.9999999998,875.1522533495737,20585.895,693.7106329854373,256000.0,2905384.7796630324,58,6sa+5sn,69
100.0,62.36465242056648,5.878906726837158,123289.61,6.961664916714123,1279999.9999999998,458.82345828295047,20892.621,701.5714894801054,256000.0,3118232.621028324,58,6sa+5sn,70
100.0,51.32140617715223,8.659550666809082,181603.94,8.590062864820613,1197547.005043994,318.2784360189574,20991.598,698.7575891755833,256000.00000000003,2566070.3088576114,85,6sa+5sn,71
0.7000000000000001,15.3671,1.2168045043945312,25518.24,14.634396355353077,17294.988,102.268,69.998,216.0,1792.0,768355.0,0,idle,72
1.3,21.76578,1.2164993286132812,25511.84,14.634396355353077,14758.348,45.957,63.177,220.0,3328.0,1088289.0,0,idle,73
0.8999999999999999,32.108940000000004,1.2169804573059082,25521.93,14.634396355353077,16087.122,148.477,67.3,220.0,2304.0,1605447.0,0,idle,74
0.6,41.335119999999996,1.217607021331787,25535.07,14.634396355353077,13647.404,56.637,59.812,218.0,1536.0,2066756.0,0,idle,75
1.0,5.65832,1.216418743133545,25510.15,14.634396355353077,5308.69,48.98,56.195,217.0,2560.0,282916.0,0,idle,76
1.3236875,1.2949969815037736,17.541679859161377,367875.69,17.861368166287015,1108.496138103517,69.26709611111109,107.895,30.472434760033543,3388.64,64749.849075188686,241,4hotel+3sa+6sn,77
1.3286484375,1.268408123603899,17.541731357574463,367876.77,17.861368166287015,1031.8472409446574,81.82576305803572,107.507,30.58827542568361,3401.34,63420.40618019495,241,4hotel+3sa+6sn,78
1.33737109375,1.33737109375,17.541945457458496,367881.26,17.861368166287015,1217.675863171728,130.64491635323662,106.61900000000001,30.35309363598822,3423.67,66868.5546875,241,4hotel+3sa+6sn,79
1.8133710937500003,0.5864015795336066,17.54187250137329,367879.73,17.861368166287015,486.4908006386513,297.91794856997285,142.23799999999997,33.46270839172226,4642.2300000000005,29320.078976680332,241,4hotel+3sa+6sn,80
6.036021484375,6.036021484375,17.5592942237854,368245.09,17.861368166287015,5690.46447414238,372.5752014234835,86.54000000000002,59.66357858616586,15452.215,301801.07421875,241,4hotel+3sa+6sn,81
30.526609375000003,30.526609375000003,17.56529140472412,368370.86,17.861368166287015,54520.53946011473,1327.5206007867007,9049.703,166.00687118626814,78148.12000000001,1526330.46875,241,4hotel+3sa+6sn,82
100.0,100.0,3.7814068794250484,79301.84999999999,9.719378425754554,1279999.9999999998,2440.5107033639147,25061.552,508.13541328107607,256000.00000000003,5000000.0,106,4hotel+3sa+6sn,83
100.0,83.94560965041241,3.725510597229004,78129.62,8.39852091934795,1279999.9999999998,4751.402457757297,27085.996,454.47990949623727,256000.00000000003,4197280.48252062,87,4hotel+3sa+6sn,84
100.0,69.67742181650841,3.670230865478516,76970.32,7.0776634129413445,1280000.0,4313.415483870968,27549.987999999998,624.615098607661,256000.00000000003,3483871.0908254203,68,4hotel+3sa+6sn,85
100.0,67.5178574077932,3.784507274627686,79366.87000000001,9.719378425754554,1280000.0,6920.90920554855,27788.2,632.8109265623087,256000.00000000003,3375892.87038966,106,4hotel+3sa+6sn,86
100.0,67.60815521385956,3.6717410087585454,77001.99,7.0776634129413445,1280000.0,6565.818295739349,27365.435999999998,647.4688914213639,256000.00000000003,3380407.7606929783,68,4hotel+3sa+6sn,87
100.0,66.99347010989938,3.7872815132141113,79425.05,9.719378425754554,1214251.250577457,2549.7284263959396,26153.254,683.9738290717703,256000.00000000003,3349673.505494969,106,4hotel+3sa+6sn,88
100.0,69.53997553462483,3.785587787628174,79389.53,9.719378425754554,1280000.0,5136.703062583224,27594.665,674.9371001028617,256000.00000000003,3476998.7767312415,106,4hotel+3sa+6sn,89
100.0,69.71904111140337,3.6713733673095703,76994.28,7.0776634129413445,1280000.0000000002,6739.256670902161,27528.555,655.761227675259,256000.00000000006,3485952.0555701684,68,4hotel+3sa+6sn,90
100.0,67.93865849510088,3.731485843658447,78254.93,8.39852091934795,1280000.0,3162.347480106101,24558.478,718.6969751844555,256000.00000000003,3396932.924755044,87,4hotel+3sa+6sn,91
99.99999999999999,65.49262149170868,3.7327709197998047,78281.88,8.39852091934795,1280000.0000000002,5469.409814323608,25964.074,670.0842822230827,255999.99999999997,3274631.074585434,87,4hotel+3sa+6sn,92
100.0,72.16346529464359,3.675944805145264,77090.15000000001,7.0776634129413445,1280000.0000000002,3409.1357868020305,27037.859,655.8511378972504,256000.0,3608173.264732179,68,4hotel+3sa+6sn,93
100.0,79.33792521066493,3.678015232086182,77133.57,7.0776634129413445,1280000.0000000002,2348.3812580231065,26303.532,704.881789823215,256000.0,3966896.2605332467,68,4hotel+3sa+6sn,94
100.0,75.37152541167832,3.791899681091308,79521.9,9.719378425754554,1280000.0000000002,4175.450980392156,26976.137,647.2073072582771,256000.0,3768576.270583916,106,4hotel+3sa+6sn,95
100.0,71.12450473050119,3.7364315986633296,78358.65,8.39852091934795,1279999.9999999998,5056.365789473685,27953.112,695.2008712651372,256000.0,3556225.2365250597,87,4hotel+3sa+6sn,96
100.0,74.0025130082282,3.6795129776000977,77164.98,7.0776634129413445,1280000.0,6862.989847715737,28803.565,641.0473780855345,256000.0,3700125.6504114103,68,4hotel+3sa+6sn,97
100.0,77.58026751389485,3.7357058525085454,78343.43000000001,8.39852091934795,1280000.0,8954.00858369099,27280.401,732.3549149704072,256000.00000000006,3879013.3756947424,87,4hotel+3sa+6sn,98
1.3,18.76294,1.2158265113830566,25497.73,14.634396355353077,13744.848,44.923,69.088,219.0,3328.0,938147.0,0,idle,99
0.8,23.60522,1.2159843444824219,25501.04,14.634396355353077,23976.807,68.253,66.236,218.0,2048.0,1180261.0,0,idle,100
1.6,30.71104,1.216665267944336,25515.32,14.634396355353077,18571.081,467.041,71.436,224.0,4096.0,1535552.0,0,idle,101
0.7000000000000001,26.99164,1.2168774604797363,25519.77,14.635535307517083,24943.768,144.607,76.069,216.0,1792.0,1349582.0,0,idle,102
1.0,28.272000000000002,1.2160840034484863,25503.13,14.635535307517083,33855.335,52.075,57.452,218.0,2560.0,1413600.0,0,idle,103
0.8,8.72536,1.2163958549499512,25509.67,14.635535307517083,7996.031,64.401,58.191,216.0,2048.0,436268.0,0,idle,104
0.6,12.45112,1.2165088653564453,25512.04,14.635535307517083,6455.41,163.568,63.744,219.0,1536.0,622556.0,0,idle,105
0.06983984375,0.02628420879170021,0.5862164497375487,12293.849999999999,2.127464763667426,2046.2220000000002,78.903,59.643,0.0567,178.79,1314.2104395850104,2,2sa,106
0.069828125,0.02909360853766503,0.5862264633178711,12294.06,2.127464763667426,12595.189,83.18900000000001,72.214,0.1847,178.76,1454.6804268832514,2,2sa,107
0.07064843750000001,0.03239384618699942,0.5862464904785156,12294.48,2.127464763667426,16347.817,44.011999999999986,67.434,0.2048,180.86,1619.6923093499709,2,2sa,108
0.07006640625,0.03187697042034866,0.5862808227539062,12295.2,2.127464763667426,12413.516000000001,96.28799999999998,69.821,0.0281,179.37,1593.848521017433,2,2sa,109
0.07326953124999999,0.029186161696795273,0.5863161087036132,12295.939999999999,2.127464763667426,27353.44,46.547000000000004,76.631,0.087,187.57,1459.3080848397635,2,2sa,110
0.06951953125,0.028031224110743956,0.5863175392150879,12295.97,2.127464763667426,12107.482,50.872,81.12,0.0833,177.97,1401.5612055371978,2,2sa,111
1.3952226562499999,0.022001821939171752,0.586519718170166,12300.210000000001,2.127464763667426,4674.662,44.94700000000001,85.973,0.1948,3571.77,1100.0910969585875,2,2sa,112
10.2485625,0.03257988715171626,0.5891551971435547,12355.48,2.127464763667426,15001.124,2782.6440000000002,78.301,7.33,26236.32,1628.994357585813,2,2sa,113
11.189734375,0.08445973725678702,0.591038703918457,12394.98,2.127464763667426,6572.245,392.842,83.56,23.4,28645.72,4222.986862839351,2,2sa,114
10.07216015625,0.017771771080253757,0.5917549133300781,12410.0,2.127464763667426,15940.979000000001,132.076,86.653,23.5,25784.73,888.5885540126878,2,2sa,115
10.845039062500001,0.03677724953738465,0.5922794342041016,12421.0,2.127464763667426,16803.292,1442.4249999999997,99.0,28.9,27763.300000000003,1838.8624768692325,2,2sa,116
11.01045703125,0.02933660533926481,0.5930085182189941,12436.29,2.127464763667426,14041.125,102.188,85.976,21.4,28186.77,1466.8302669632403,2,2sa,117
